Filename,Frame,Time (mins),Image row,Image col,Date,Location,Site #,Transect #,Latitude,Longitude,Rugosity,Depth,Collector,Fishing status,Spare,Spare,FOV,Relief,,Radius %
Z_1.jpg,Z_1,,1214,2112,,,Z_1,Z_1,,,,,,,,,Open,,,11.9
Z_1.jpg,Z_1,,1483,2112,,,Z_1,Z_1,,,,,,,,,Open,,,22.7
Z_1.jpg,Z_1,,1752,2112,,,Z_1,Z_1,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,35.6
Z_1.jpg,Z_1,,2021,2112,,,Z_1,Z_1,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,48.9
Z_1.jpg,Z_1,,139,2495,,,Z_1,Z_1,,,,,,,,,Open,,,56.1
Z_1.jpg,Z_1,,408,2495,,,Z_1,Z_1,,,,,,,,,Open,,,45
Z_1.jpg,Z_1,,677,2495,,,Z_1,Z_1,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,35.7
Z_1.jpg,Z_1,,946,2495,,,Z_1,Z_1,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,30
Z_1.jpg,Z_1,,1214,2495,,,Z_1,Z_1,,,,,,,,,Open,,,30
Z_1.jpg,Z_1,,1483,2495,,,Z_1,Z_1,,,,,,,,,Open,1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope,,35.7
Z_1.jpg,Z_1,,1752,2495,,,Z_1,Z_1,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,45
Z_1.jpg,Z_1,,2021,2495,,,Z_1,Z_1,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,56.1
Z_1.jpg,Z_1,,139,2878,,,Z_1,Z_1,,,,,,,,,Open,,,68.4
Z_1.jpg,Z_1,,408,2878,,,Z_1,Z_1,,,,,,,,,Open,,,59.6
Z_1.jpg,Z_1,,677,2878,,,Z_1,Z_1,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,52.9
Z_1.jpg,Z_1,,946,2878,,,Z_1,Z_1,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,49.2
Z_1.jpg,Z_1,,1214,2878,,,Z_1,Z_1,,,,,,,,,Open,,,49.2
Z_1.jpg,Z_1,,1483,2878,,,Z_1,Z_1,,,,,,,,,Open,1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope,,52.9
Z_1.jpg,Z_1,,1752,2878,,,Z_1,Z_1,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,59.6
Z_1.jpg,Z_1,,2021,2878,,,Z_1,Z_1,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,68.4
Z_1.jpg,Z_1,,139,3261,,,Z_1,Z_1,,,,,,,,,Open,,,83.4
Z_1.jpg,Z_1,,408,3261,,,Z_1,Z_1,,,,,,,,,Open,,,76.4
Z_1.jpg,Z_1,,677,3261,,,Z_1,Z_1,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,71.3
Z_1.jpg,Z_1,,946,3261,,,Z_1,Z_1,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,68.6
Z_1.jpg,Z_1,,1214,3261,,,Z_1,Z_1,,,,,,,,,Open,,,68.6
Z_1.jpg,Z_1,,1483,3261,,,Z_1,Z_1,,,,,,,,,Open,1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope,,71.3
Z_1.jpg,Z_1,,1752,3261,,,Z_1,Z_1,,,,,,,,,Open,1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope,,76.4
Z_1.jpg,Z_1,,2021,3261,,,Z_1,Z_1,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,83.4
Z_1.jpg,Z_1,,139,3644,,,Z_1,Z_1,,,,,,,,,Open,,,100
Z_1.jpg,Z_1,,408,3644,,,Z_1,Z_1,,,,,,,,,Open,,,94.2
Z_1.jpg,Z_1,,677,3644,,,Z_1,Z_1,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,90.1
Z_1.jpg,Z_1,,946,3644,,,Z_1,Z_1,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,88
Z_1.jpg,Z_1,,1214,3644,,,Z_1,Z_1,,,,,,,,,Open,,,88
Z_1.jpg,Z_1,,1483,3644,,,Z_1,Z_1,,,,,,,,,Open,1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope,,90.1
Z_1.jpg,Z_1,,1752,3644,,,Z_1,Z_1,,,,,,,,,Open,1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope,,94.2
Z_1.jpg,Z_1,,2021,3644,,,Z_1,Z_1,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,100
Z_10.jpg,Z_10,,139,197,,,Z_10,Z_10,,,,,,,,,Open,,,100
Z_10.jpg,Z_10,,408,197,,,Z_10,Z_10,,,,,,,,,Open,,,94.2
Z_10.jpg,Z_10,,677,197,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,90.1
Z_10.jpg,Z_10,,946,197,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,88
Z_10.jpg,Z_10,,1214,197,,,Z_10,Z_10,,,,,,,,,Open,,,88
Z_10.jpg,Z_10,,1483,197,,,Z_10,Z_10,,,,,,,,,Open,,,90.1
Z_10.jpg,Z_10,,1752,197,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,94.2
Z_10.jpg,Z_10,,2021,197,,,Z_10,Z_10,,,,,,,,,Open,"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope",,100
Z_10.jpg,Z_10,,139,580,,,Z_10,Z_10,,,,,,,,,Open,,,83.4
Z_10.jpg,Z_10,,408,580,,,Z_10,Z_10,,,,,,,,,Open,,,76.4
